id,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude,Subgroup,Family
1917,Jingulu,Australia,AUS,jig,Severely endangered,"Djingili, Djingulu, Jingali, Tjingilu, Chingalee, Djingila, Lee, Chunguloo, Tchingalee, Jingulu",,14.0,-17.3716,134.187,,
1918,Zapotec of Mixtepe,Mexico,MEX,zpm,Critically endangered,dizde,,14.0,16.2666,-96.3666,,
1919,Woria,Indonesia,IDN,wor,Critically endangered,,,13.0,-2.4011,136.4886,,
1920,Aruá,Brazil,BRA,arx,Severely endangered,,,12.0,-12.0285,-64.7094,,
1921,Han (United States of America),United States of America,USA,haa,Critically endangered,Han-Kutchin,,12.0,64.7837,-141.2172,,
1922,Hupa,United States of America,USA,hup,Critically endangered,,,12.0,41.7624,-123.7028,,
1923,Karuk,United States of America,USA,kyh,Severely endangered,Karok,,12.0,41.7929,-123.3763,,
1924,Makah,United States of America,USA,myh,Critically endangered,,,12.0,48.3658,-124.6118,,
1925,Ngaliwuru,Australia,AUS,djd,Critically endangered,,,12.0,-15.5595,131.0614,,
1926,Ofayé,Brazil,BRA,opy,Critically endangered,"Ofaié, Opayé, Ofayé-Xavante",,12.0,-21.361,-52.0532,Opaye,Macro-Ge
1927,Umpila,Australia,AUS,ump,Severely endangered,,,12.0,-13.0366,143.3386,,
1928,Yurok,United States of America,USA,yur,Critically endangered,,,12.0,41.0607,-124.1413,,
1929,Kinikinau,Brazil,BRA,gqn,Critically endangered,"Kinikinao, Guaná",,11.0,-21.0685,-56.2765,Bolivia-Parana,Arawakan
1930,Wagiman,Australia,AUS,waq,Severely endangered,"Wageman, Wogeman.",,11.0,-14.1845,131.6546,,
1931,Achumawi,United States of America,USA,acv,Critically endangered,,,10.0,40.8816,-122.6715,,
1932,Arho,New Caledonia (France),NCL,aok,Critically endangered,,,10.0,-21.274,165.0503,,
1933,Arikara,United States of America,USA,ari,Critically endangered,,,10.0,47.648,-101.8327,,
1934,Ayizi,China,CHN,yyz,Critically endangered,"Bai Yi, Bai Luoluo",,10.0,24.5964,103.7329,,
1935,Ch'orti' (Honduras),Honduras,HND,caa,Critically endangered,Chorti,,10.0,14.9364,-88.865,,
1936,Chung (Thailand),Thailand,THA,scq,Critically endangered,"Saoch, Ut, Chu-ung",,10.0,14.4897,99.1661,,
1937,Copper Island Aleut,Russian Federation,RUS,mud,Critically endangered,“Mednyy Aleut” (refers to the Russian name of the island); алеутско-медновский,,10.0,54.7753,167.5662,,
