id,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude,Subgroup,Family
1195,Laal,Chad,TCD,gdm,Critically endangered,Gori,,749.0,9.9607,17.6083,,
1196,Ulcha,Russian Federation,RUS,ulc,Critically endangered,,,732.0,52.0457,140.4162,,
1197,Jawe,New Caledonia (France),NCL,jaz,Vulnerable,Djawe,,729.0,-20.4913,164.696,,
1198,Maslam,"Cameroon, Chad","CMR, TCD",msv,Severely endangered,Maltam,,723.0,12.136,14.6914,,
1199,Nambiquara do Sul,Brazil,BRA,nab,Vulnerable,,,721.0,-13.2506,-59.5404,,
1200,North Slavey,Canada,CAN,scs,Definitely endangered,,,720.0,65.2161,-123.4362,,
1201,Gitksan,Canada,CAN,git,Severely endangered,,,710.0,55.355,-127.6828,,
1202,A'ingae / Cofan (Ecuador),Ecuador,ECU,con,Definitely endangered,"Cofan, Kofan (see Colombia)",,700.0,0.0659,-76.7065,,
1203,Animere,Ghana,GHA,anf,Critically endangered,Kunda,,700.0,7.6129,0.4064,,
1204,Batek,Malaysia,MYS,btq,Critically endangered,"Mintil dialect; Minriq, Mindriq or Mendriq dialect",,700.0,4.6695,102.5051,,
1205,Enggano,Indonesia,IDN,eno,Vulnerable,,,700.0,-5.4191,102.2717,,
1206,Indri,Sudan,SDN,idr,Severely endangered,"Yanderika, Yandirika

Close to Feroge.",,700.0,8.4397,25.5926,,
1207,Kalaw Lagaw Ya,Australia,AUS,mwp,Definitely endangered,"Kala Yagaw Ya, Yagar Yagar, Mabuiag, Kala Lagau Langgus, Langus, Kala Lagaw.  Dialects: Kalaw Kawaw",,700.0,-10.0828,142.1081,,
1208,Lakon,Vanuatu,VUT,lkn,Vulnerable,"Lakona, Vure",,700.0,-14.251,167.422,,
1209,Mok (China),China,CHN,tlq,Definitely endangered,,,700.0,21.5158,100.221,,
1210,Ngaanyatjarra,Australia,AUS,ntj,Vulnerable,"Nyanganyatjara, Ngaanyatjara, Ngaanjatjarra.",,700.0,-26.037,124.541,,
1211,Piratapuya (Brazil),Brazil,BRA,pir,Severely endangered,"Piratapuia, Piratapuyo, Pira-Tapuia.  Waíkana is the autodenominação of the people in Brazil and they prefer it as a name.",,700.0,0.5712,-66.7089,,
1212,Mountain Guarijío,Mexico,MEX,var,Vulnerable,Chihuahua Guarijío,,696.0,27.8758,-108.553,,
1213,Nivkh (Sakhalin),Russian Federation,RUS,niv,Severely endangered,,,688.0,51.7814,143.1628,,
1214,Krikati,Brazil,BRA,xri,Vulnerable,"Krinkati, Timbira",,682.0,-5.8674,-46.7468,,
1215,Dakota,Canada,CAN,dak,Definitely endangered,,,675.0,49.8461,-100.5035,,
1216,Carrier,Canada,CAN,"bcr, caf, crx",Severely endangered,,,660.0,54.2395,-125.7621,,
1217,Kasanga,Guinea-Bissau,GNB,ccj,Critically endangered,Haal,,650.0,12.2702,-16.1553,,
1218,Wanano / Kotiria (Brazil),Brazil,BRA,gvc,Vulnerable,"Uanano, Wanano, Kotiria, Guanano (SIL)",,650.0,0.6152,-67.5,,
1219,Eastern Ojibwe,Canada,CAN,ojg,Severely endangered,Mississauga,,620.0,44.8381,-80.1983,,
1220,Yuhup (Brazil),Brazil,BRA,yab,Vulnerable,Yuhúpde,,617.0,-1.0546,-69.3896,,
1221,Akum,"Cameroon, Nigeria","CMR, NGA",aku,Critically endangered,,,600.0,6.73,9.9316,,
1222,Blablanga,Solomon Islands,SLB,blp,Definitely endangered,"Gema, Goi",,600.0,-8.206,159.4638,,
1223,Bubia,Cameroon,CMR,bbx,Severely endangered,,,600.0,4.0204,9.2037,,
1224,Chickasaw,United States of America,USA,cic,Severely endangered,,,600.0,34.6,-96.8161,,
1225,Desano (Brazil),Brazil,BRA,des,Definitely endangered,"Desano, Dessano, Wira, Umùkomasá",,600.0,0.0878,-67.9394,,
1226,Faetar,Italy,ITA,frp,Definitely endangered,,,600.0,41.3265,15.1721,,
1227,Hixkaryána,Brazil,BRA,hix,Vulnerable,,,600.0,-0.5493,-58.5131,,
1228,Hoava,Solomon Islands,SLB,hoa,Vulnerable,,,600.0,-8.1883,157.6036,,
1229,Hodi,Venezuela (Bolivarian Republic of),VEN,yau,Vulnerable,Jodi. Hoti. Yuwana.,,600.0,6.075,-65.6323,,
1230,Iñapari,Peru,PER,"inp, cuj",Critically endangered,"Mashco, mashco-piro",,600.0,-12.0822,-69.7412,,
1231,Koke,Chad,TCD,kou,Severely endangered,,,600.0,10.8575,18.1315,,
1232,Kowiai,Indonesia,IDN,kwh,Vulnerable,Kaiwai,,600.0,-3.9437,134.0881,,
1233,Kuikuro,Brazil,BRA,kui,Vulnerable,Cuicuro,,600.0,-12.35,-53.21,,
1234,Laiyolo,Indonesia,IDN,lji,Definitely endangered,Da'ang,,600.0,-6.3862,120.4733,,
1235,Mo'da,Sudan,SDN,gbn,Critically endangered,"Gberi, Gweri, Gbara, Muda",,600.0,6.5008,29.9377,,
1236,Northern Selkup,Russian Federation,RUS,sel,Severely endangered,Taz Selkup,,600.0,65.7035,82.4441,,
1237,Penrhyn,Cook Islands,COK,pnh,Severely endangered,Tongareva,,600.0,-9.0153,-158.0218,,
1238,Pintupi,Australia,AUS,piu,Vulnerable,"Luridja, Pintubi, Binddibu, Loridja.",,600.0,-22.8882,128.3203,,
1239,Piratapuya (Colombia),Colombia,COL,pir,Critically endangered,"Pirata - puya, wai kana, wailino, uaikena, uaikama, waikhana, urúbu - tapuya. Waíkana is the autodenominação of the people in Brazil and they prefer it as a name.",,600.0,0.8333,-69.5,,
1240,Siona / Secoya (Ecuador),Ecuador,ECU,"sey, snn",Severely endangered,"Baikoka, Siona, Secoya, Paikoka",,600.0,-0.0659,-76.3989,,
1241,Sonsorol,Palau,PLW,sov,Severely endangered,Sonsorolese,,600.0,7.4278,134.5495,,
1242,Teanu,Solomon Islands,SLB,tkw,Definitely endangered,"Buma, Puma",,600.0,-11.6219,166.9633,,
1243,Yaminahua (Brazil),Brazil,BRA,yaa,Vulnerable,"Yamináwa, Jaminawá, Iaminawá, Xixinawá, Yawanawá, Bashonawá, Marinawá",,600.0,-10.6606,-69.6972,,
1244,Andoke,Colombia,COL,ano,Severely endangered,"Pöösíöhö ('People of the Axe'), Cha'oie, Businka",,597.0,-0.769,-72.2351,,
1245,Orowe,New Caledonia (France),NCL,bpk,Definitely endangered,abwébwé,,587.0,-21.4223,165.4678,,
1246,Mosetén,Bolivia (Plurinational State of),BOL,cas,Severely endangered,,,585.0,-15.4113,-67.5,,
1247,Norfolk-Pitcairn (Norfolk),Norfolk Island (Australia),NFK,pih,Definitely endangered,"Norfolkese, Norfuk , Pitcairnese, Pitkern",,580.0,-29.0225,167.9425,,
1248,Nunatsiavummiutut,Canada,CAN,ike,Definitely endangered,Eastern Canadian Inuktitut,,575.0,56.532,-61.7408,,
1249,Shuswap,Canada,CAN,shs,Definitely endangered,,,570.0,51.7886,-122.2286,,
1250,Xaragure,New Caledonia (France),NCL,axx,Vulnerable,,,566.0,-21.8054,166.4964,,
1251,Tapirapé,Brazil,BRA,taf,Vulnerable,Tapi'irape,,564.0,-10.6606,-50.4602,,
1252,Lacandón,Mexico,MEX,lac,Critically endangered,jach-t'aan,,563.0,16.706,-91.0641,,
1253,Chilcotin,Canada,CAN,clc,Definitely endangered,,,560.0,52.031000000000006,-123.1678,,
1254,Chácobo,Bolivia (Plurinational State of),BOL,cao,Definitely endangered,,,550.0,-11.3454,-65.8135,,
1255,Gao,Solomon Islands,SLB,gga,Vulnerable,Nggao,,550.0,-8.3514,159.8167,,
1256,Geme,Central African Republic,CAF,geq,Critically endangered,Jeme,,550.0,8.4941,20.6378,,
1257,Karore,Papua New Guinea,PNG,xkx,Vulnerable,,,550.0,-6.1542,149.8205,,
1258,Yuhup (Colombia),Colombia,COL,yab,Definitely endangered,,,550.0,-0.5493,-69.9169,,
1259,Hinukh,Russian Federation,RUS,gin,Definitely endangered,Ginukh,,548.0,42.1801,45.977,,
1260,Anuki,Papua New Guinea,PNG,aui,Definitely endangered,Gabobora,,542.0,-9.6522,149.7656,,
1261,Imeraguen,Mauritania,MRT,ime,Definitely endangered,imraguen,,534.0,18.9166,-15.995999999999999,,
1262,Narpa,Nepal,NPL,npa,Definitely endangered,’Narpa; Nar Phu; Narphu,,533.0,28.7315,84.26100000000001,,
1263,Akatek (Mexico),Mexico,MEX,knj,Vulnerable,"kuti', Akatec, Akateco",,532.0,16.7823,-93.1061,,
1264,Naskapi,Canada,CAN,nsk,Vulnerable,,,525.0,54.903,-66.80199999999999,,
1265,Archi,Russian Federation,RUS,aqc,Definitely endangered,,,524.0,41.9839,46.8127,,
1266,Yawanawá,Brazil,BRA,ywn,Vulnerable,Iauanauá,,519.0,-10.8333,-70.0927,,
1267,Raute,Nepal,NPL,rau,Severely endangered,Rautye; Khamchi,,518.0,28.9744,80.7969,,
1268,Seri,Mexico,MEX,sei,Vulnerable,cmiique iitom,,518.0,29.2333,-112.2,,
1269,Western Popoloc,Mexico,MEX,pow,Severely endangered,"ngiba, Popoloca de San Felipe Otlaltepec (Ethnologue, 15th edition)",,516.0,18.4141,-98.0176,,
1270,Yaqui (United States of America),United States of America,USA,yaq,Definitely endangered,"Yoeme, Cáhita",,510.0,32.1158,-111.0638,,
1271,Kalapalo,Brazil,BRA,kui,Vulnerable,Calapalu,,506.0,-12.1574,-53.2521,,
1272,Nganasan,Russian Federation,RUS,nio,Severely endangered,,,505.0,72.816,91.58200000000001,,
1273,Jakaltek (Mexico),Mexico,MEX,jai,Severely endangered,popti',,504.0,16.3137,-93.2084,,
1274,Aheu,Lao People's Democratic Republic,LAO,thm,Definitely endangered,former village name Phonsung,,500.0,18.4333,104.5,,
1275,Amahuaca,Peru,PER,amc,Severely endangered,,,500.0,-10.8764,-72.29,,
1276,Anfillo,Ethiopia,ETH,myo,Critically endangered,,,500.0,8.5049,34.7415,,
1277,Baniva,Venezuela (Bolivarian Republic of),VEN,bvv,Severely endangered,Baniwa. Baniva del Guainía,,500.0,2.8333,-67.5219,Inland Northern Maipuruan,Arawakan
1278,Bataan Ayta,Philippines,PHL,ayt,Definitely endangered,,,500.0,14.4324,120.4788,,
1279,Bats,Georgia,GEO,bbl,Severely endangered,Batsbi; Tsova-Tush,,500.0,42.0982,45.0878,,
1280,Black Mountain,Bhutan,BTN,ole,Definitely endangered,Olekha; Monpa; Mönpa; Ole Mönpa,,500.0,27.1955,90.43,,
1281,Busoa,Indonesia,IDN,bup,Vulnerable,Tangkou,,500.0,-5.5722,122.6074,,
1282,Chong,"Cambodia, Thailand","KHM, THA",cog,Severely endangered,,,500.0,12.9506,102.0374,,
1283,Domaaki,Pakistan,PAK,dmk,Severely endangered,"Dumaki, Doma",,500.0,36.0979,73.9627,,
1284,Havasupai,United States of America,USA,yuf,Definitely endangered,,,500.0,36.2429,-112.6897,,
1285,Kensiw (Thailand),Thailand,THA,kns,Severely endangered,"Kensiu, Sakai, Mendriq",,500.0,7.1712,99.7915,,
1286,Khmin,China,CHN,bgk,Vulnerable,"Man Met, Phsing",,500.0,22.0469,100.8065,,
1287,Khvarshi,Russian Federation,RUS,khv,Definitely endangered,,,500.0,42.3417,46.1212,,
1288,Laghuu,Viet Nam,VNM,lgh,Definitely endangered,,,500.0,23.6166,105.6833,,
1289,Laha (Lao Cai),Viet Nam,VNM,lha,Definitely endangered,,,500.0,22.0333,103.75,,
1290,Laha (Son La),Viet Nam,VNM,lha,Definitely endangered,,,500.0,21.4666,103.75,,
1291,Majera,Cameroon,CMR,xmj,Critically endangered,,,500.0,11.3231,14.9839,,
1292,Maliseet-Passamaquoddy,United States of America,USA,pqm,Severely endangered,"Maliseet, Malicite, Passamaquoddy",,500.0,44.9572,-67.0496,,
1293,Mikasuki,United States of America,USA,mik,Vulnerable,"Hitchiti-Miikasuki, Hitchiti, Seminole, Miccosukee",,500.0,26.3202,-80.9877,,
1294,Mlomp,Senegal,SEN,mlo,Critically endangered,,,500.0,12.7421,-16.4904,,
1295,Onin,Indonesia,IDN,oni,Vulnerable,,,500.0,-2.9745,132.2383,,
1296,Ormu,Indonesia,IDN,orz,Vulnerable,,,500.0,-2.5136,140.6675,,
1297,Palikur (French Guyana),French Guiana (France),GUF,plu,Severely endangered,,,500.0,3.908,-51.9873,,
1298,Pemon (Brazil),Brazil,BRA,aoc,Vulnerable,"Taurepáng in Brazil, Taulipang, Pemon in Velezuela, Arekuna in Guyana",,500.0,4.664,-60.216,,
1299,Quechua of Chachapoyas,Peru,PER,quk,Critically endangered,,,500.0,-6.2606,-77.7722,,
1300,Seke,Nepal,NPL,skj,Vulnerable,,,500.0,28.9282,83.8249,,
1301,Siona / Secoya (Colombia),Colombia,COL,"sey, snn",Critically endangered,"Sioni, Pioje, Pioche-Sioni, zeona, kokakañu, quenquejoyo, paikoka",,500.0,0.493,-76.2464,,
1302,South Saami,"Norway, Sweden","NOR, SWE",sma,Severely endangered,,åarjelsaemien gïele,500.0,64.2063,13.4802,,
1303,Taikat,Indonesia,IDN,aos,Definitely endangered,Arso,,500.0,-2.8429,140.846,,
1304,Taloki,Indonesia,IDN,tlk,Definitely endangered,,,500.0,-4.5928,122.8628,,
1305,Tamki,Chad,TCD,tax,Critically endangered,,,500.0,11.48,18.2125,,
1306,Tawahka,Honduras,HND,sum,Severely endangered,Sumo-tawahka,,500.0,15.3602,-85.1373,,
1307,Thavung (Thailand),Thailand,THA,thm,Severely endangered,"So, So Thavung",,500.0,17.3168,103.5142,,
1308,Tomadino,Indonesia,IDN,tdi,Definitely endangered,,,500.0,-2.5836,121.9729,,
1309,Toratán,Indonesia,IDN,rth,Definitely endangered,Ratahan,,500.0,1.0354,124.7985,,
1310,Tunisian Judeo-Arabic (Tunisia),Tunisia,TUN,ajt,Critically endangered,l'arabe des juifs tunisiens,,500.0,33.8795,10.0634,,
1311,"Ute (Colorado, Ute Mountain)",United States of America,USA,ute,Severely endangered,,,500.0,37.2105,-108.7223,,
1312,Walmajarri,Australia,AUS,wmt,Definitely endangered,"Walmadjari, Walmatjari, Walmatjiri, Walmajiri, Wolmeri, Pililuna.  Dialects: Djuwarliny (Juwaliny, Tjuwalinj).",,500.0,-19.9939,125.5297,,
1313,Warekena (Venezuela),Venezuela (Bolivarian Republic of),VEN,gae,Severely endangered,Guarequena,,500.0,2.5479,-67.2802,,
1314,Boguru,"Democratic Republic of the Congo, Sudan","ZAI, SDN",bqu,Critically endangered,,,494.0,4.3902,29.2016,,
1315,Pukobyê,Brazil,BRA,gvp,Vulnerable,"Pukobiê, Pykopjê, Gavião do Maranhão, Timbíra",,494.0,-5.3316,-46.7138,,
1316,Wali,Sudan,SDN,wll,Critically endangered,Walari,,487.0,11.9372,29.3005,,
1317,Gavião do Pará,Brazil,BRA,gvp,Vulnerable,"Gavião do Mãe Maria Akrâtikatêjê , Gavião do Mãe Maria Kyikatêjê, Gavião do Mãe Maria Parakatêjê",,476.0,-5.1784,-48.998999999999995,,
1318,Malecite,"Canada, United States of America","CAN, USA",pqm,Definitely endangered,,,475.0,46.8023,-67.6686,,
1319,Ninam (Brazil),Brazil,BRA,shb,Vulnerable,"Yanam, Xiriana",,466.0,3.1185,-62.9736,,
1320,Zoró,Brazil,BRA,gvo,Vulnerable,Pangyn (singular) Pangyjej (plural),,464.0,-10.9519,-61.0729,,
1321,Sanema (Brazil),Brazil,BRA,xsu,Vulnerable,"Sanumá in Brazil, Sanema in Venezuela",,462.0,2.8113,-63.0615,,
1322,Ixtenco Otomí,Mexico,MEX,otz,Severely endangered,yühmú,,461.0,19.2495,-97.8943,,
1323,Ottawa (Michigan),United States of America,USA,otw,Critically endangered,"Odawa, Chippewa",,459.0,43.5971,-84.7752,,
1324,Kanela Apaniekra,Brazil,BRA,ram,Vulnerable,"Apaniekra, Canela, Timbíra",,458.0,-6.2716,-46.1865,,
1325,Satawal,Micronesia (Federated States of),FSM,stw,Severely endangered,,,458.0,7.3406,147.041,,
1326,Chatino of Zacatepec,Mexico,MEX,ctz,Definitely endangered,cha' jna' a,,453.0,16.1333,-97.35,,
1327,Demisa,Indonesia,IDN,dei,Definitely endangered,,,450.0,-2.7016,136.6699,,
1328,Koasati (Louisiana),United States of America,USA,cku,Definitely endangered,Coushatta,,450.0,30.4855,-92.8494,,
1329,Koasati (Texas),United States of America,USA,cku,Definitely endangered,Coushatta,,450.0,30.7155,-94.6965,,
1330,Nanti,Peru,PER,cox,Vulnerable,Kugapakori,,450.0,-11.6629,-72.6965,,
1331,Shabo,Ethiopia,ETH,sbf,Severely endangered,,,450.0,7.327000000000001,35.2935,,
1332,Sharanahua,Peru,PER,mcd,Severely endangered,,,450.0,-10.3365,-70.9277,,
1333,Siona  Secoya (Peru),Peru,PER,"sey, snn",Definitely endangered,"Encabellado (Peru), Paikoka, Baikoka, Airo Pai",,450.0,-0.5712,-74.8828,,
1334,Tolomako,Vanuatu,VUT,tlm,Definitely endangered,,,450.0,-15.1834,166.8438,,
1335,Enawenê-Nawê,Brazil,BRA,unk,Vulnerable,"Eneuene-Mare, Salumã (not to be confused with what SIL calls Salumá, a Carib language in NW Pará)",,445.0,-12.5223,-59.7656,,
1336,Valle Nacional Chinantec,Mexico,MEX,cvn,Definitely endangered,Chinanteco de San Juan Bautista Valle Nacional,,442.0,17.7747,-96.3034,,
1337,Gavião de Rondônia,Brazil,BRA,gvo,Vulnerable,"Ikõlej, Ikõleey, Ikõro",,436.0,-10.4445,-61.6992,,
1338,Tabasco Náhuatl,Mexico,MEX,nhk,Critically endangered,"Pipil, Mexicano del oriente",,434.0,18.0026,-93.3722,,
1339,Sera,Papua New Guinea,PNG,sry,Severely endangered,,,432.0,-3.0033,141.9158,,
1340,Yecuana (Brazil),Brazil,BRA,mch,Vulnerable,"Maiongong, Ye'kuana, Yekwana, Makiritare",,430.0,2.8552,-63.3251,,
1341,Moose Cree,Canada,CAN,crm,Vulnerable,,,405.0,52.2827,-81.6276,,
1342,Tlahuica,Mexico,MEX,ocu,Severely endangered,"Ocuilteco, pjiekakjo",,405.0,18.9664,-99.4137,,
1343,Katukina do Acre,Brazil,BRA,knt,Severely endangered,"Katukina Pano, Panoana Katukina, Katukina",,404.0,-6.4899,-69.2578,,
1344,Abai Sungai,Malaysia,MYS,abf,Definitely endangered,,,400.0,5.587000000000001,118.3695,,
1345,Barasana (Colombia),Colombia,COL,bsn,Critically endangered,"Barasano del sur, Janera, Pãnerã, Paneroa, Eduria, Edulia, Erulia",,400.0,0.0769,-70.3894,,
1346,Beezen,Cameroon,CMR,bnz,Severely endangered,,,400.0,6.7518,10.0744,,
1347,Buga,Sudan,SDN,myj,Critically endangered,Mangayat,,400.0,8.2495,25.7574,,
1348,Cheyenne (Oklahoma),United States of America,USA,chy,Severely endangered,,,400.0,35.6022,-97.9766,,
1349,Cimbrian,Italy,ITA,cim,Definitely endangered,Cimbro,,400.0,45.867,11.4268,,
1350,Cobiana,"Guinea-Bissau, Senegal","GNB, SEN",kcj,Critically endangered,Buy,,400.0,12.4017,-16.3229,,
1351,Dagur (Amur),China,CHN,dta,Critically endangered,Daur; дагурский,,400.0,49.5252,127.5402,,
1352,Dahalo,Kenya,KEN,dal,Severely endangered,,,400.0,-2.2625,40.7537,,
1353,Émérillon,French Guiana (France),GUF,eme,Severely endangered,,,400.0,2.8991,-52.8881,,
1354,Gagauz (Maritime),"Bulgaria, Romania","BGR, ROU","bgx, gag",Severely endangered,,,400.0,43.2932,27.9602,,
1355,Hijuk,Cameroon,CMR,hij,Critically endangered,,,400.0,4.2861,10.4919,,
1356,Hobyot,"Oman, Yemen","OMN, YEM",hoh,Severely endangered,"Howbyot, hubiyya, hubiyyet",,400.0,16.6388,53.0612,,
1357,Inari Saami,Finland,FIN,smn,Severely endangered,,anarâškielâ,400.0,68.8446,27.2817,,
1358,Istriot,Croatia,HRV,ist,Severely endangered,,,400.0,45.0541,13.7246,,
1359,Kalao,Indonesia,IDN,kly,Definitely endangered,Kalatoa,,400.0,-7.3134,121.0034,,
1360,Kamaiurá,Brazil,BRA,kay,Vulnerable,"Kamayurá, Camaiura",,400.0,-12.1655,-53.4292,,
1361,Kickapoo (Kansas),United States of America,USA,kic,Severely endangered,"Kikapaux, Kikapú, Kicapoux, Kikapoo, Kikabeeux, Kicapus, Quicapause",,400.0,39.6972,-95.7089,,
1362,Kickapoo (Oklahoma),United States of America,USA,kic,Severely endangered,"Kikapaux, Kikapú, Kicapoux, Kikapoo, Kikabeeux, Kicapus, Quicapause",,400.0,35.4245,-97.0713,,
1363,Kickapoo (Texas),United States of America,USA,kic,Severely endangered,"Kikapaux, Kikapú, Kicapoux, Kikapoo, Kikabeeux, Kicapus, Quicapause",,400.0,28.6147,-100.4386,,
1364,Kiowa,United States of America,USA,kio,Severely endangered,,,400.0,35.1016,-98.6197,,
1365,Koroni,Indonesia,IDN,xkq,Definitely endangered,,,400.0,-2.6412,121.9894,,
1366,Lamongse,India,IND,nik,Critically endangered,"Ong, Lamongshe, Milo, Miloh",,400.0,7.3134,93.6968,,
1367,Ndunda,Nigeria,NGA,nuh,Severely endangered,,,400.0,6.9482,10.9698,,
1368,Northern Paiute (Nevada),United States of America,USA,pao,Definitely endangered,Paviotso,,400.0,41.9979,-117.7193,,
1369,Pupeo,China,CHN,laq,Definitely endangered,"Laqua, Pubiao, Qabiao",,400.0,23.1666,105.1,,
1370,Rapa,French Polynesia (France),PYF,ray,Severely endangered,Rapan,,400.0,-27.8973,-143.5034,,
1371,Red Gelao (China),China,CHN,gir,Critically endangered,"A'uo, A'ou",,400.0,26.2553,105.8571,,
1372,Sengseng,Papua New Guinea,PNG,ssz,Vulnerable,,,400.0,-6.0681,150.2792,,
1373,Sirionó,Bolivia (Plurinational State of),BOL,srq,Severely endangered,Mbia,,400.0,-14.557,-63.7316,,
1374,Talondo,Indonesia,IDN,tln,Definitely endangered,,,400.0,-2.3723,119.3774,,
1375,"Yaminahua (Bolivia, Peru)","Bolivia (Plurinational State of), Peru","BOL, PER",yaa,Severely endangered,"Jaminawá, Yamináwa",,400.0,-10.7469,-71.7297,,
1376,Sanema (Venezuela),Venezuela (Bolivarian Republic of),VEN,xsu,Vulnerable,Sanumá. Guaica.  Sanumá in Brazil.,,393.0,4.4669,-64.1931,,
1377,Pirahã,Brazil,BRA,myp,Vulnerable,Mura Pirahã,,389.0,-6.9264,-61.1279,,
1378,Yerong,China,CHN,yrn,Severely endangered,Daban Yao,,380.0,23.0732,106.0789,,
1379,A'ingae / Cofan (Colombia),Colombia,COL,con,Severely endangered,"Kofan, A'i, A'ingae, Kofane, Cofan",,379.0,0.4525,-76.9191,,
1380,Halkomelem,"Canada, United States of America","CAN, USA",hur,Severely endangered,,,375.0,48.7715,-123.6678,,
1381,Yudja,Brazil,BRA,jur,Vulnerable,"Juruna, Yuruna",,362.0,-10.956,-53.3235,,
1382,Kisêdjê,Brazil,BRA,suy,Vulnerable,"Suyá, Suiá",,351.0,-11.5795,-53.031000000000006,,
1383,Auye,Indonesia,IDN,auu,Vulnerable,,,350.0,-3.5627,135.9915,,
1384,Awyi,Indonesia,IDN,auw,Vulnerable,Nyao,,350.0,-2.943,140.6359,,
1385,Bierebo,Vanuatu,VUT,bnk,Vulnerable,,,350.0,-16.6539,168.1539,,
1386,Fayu,Indonesia,IDN,fau,Vulnerable,Sehudate,,350.0,-3.1,136.8,,
1387,Labo,Vanuatu,VUT,mwi,Vulnerable,Mewun,,350.0,-16.4492,167.4481,,
1388,Myky,Brazil,BRA,irn,Vulnerable,"Munku, Menku, Menky Manoki",,350.0,-12.5331,-59.5019,,
1389,Nadëb,Brazil,BRA,mbj,Definitely endangered,"Guariba, Xiruai",,350.0,-1.9771,-67.0166,,
1390,Taje,Indonesia,IDN,pee,Critically endangered,,,350.0,-0.747,120.086,,
1391,Tenharim,Brazil,BRA,pah,Severely endangered,Kagwahiva,,350.0,-8.4071,-61.1499,,
1392,Mako,Venezuela (Bolivarian Republic of),VEN,wpc,Critically endangered,,,345.0,4.2149,-65.7421,,
1393,Barām,Nepal,NPL,brd,Critically endangered,बराम; Bāl Kurā; Baraamu; Barhamu; Brahmu; Bhramu; Bramu; Baram,,342.0,28.041,84.62899999999999,,
1394,Ikpeng,Brazil,BRA,txi,Vulnerable,"Txicão, Txikão",,342.0,-11.7376,-53.61600000000001,,
1395,Araweté,Brazil,BRA,awt,Vulnerable,Araueté,,339.0,-5.1347,-52.3388,,
1396,Northern Pame,Mexico,MEX,pmq,Definitely endangered,xi'iuy,,337.0,21.9955,-99.6458,,
1397,Thompson,Canada,CAN,thp,Severely endangered,Nlaka_pamuxtsn,,335.0,50.1909,-120.8431,,
1398,Serili,Indonesia,IDN,sve,Vulnerable,,,328.0,-8.1136,129.9023,,
1399,Kaningara,Papua New Guinea,PNG,knr,Vulnerable,Kaningra,,327.0,-4.5784,143.3612,,
1400,Misantla Totonac,Mexico,MEX,tlc,Critically endangered,"Yecuatla Totonac, Totonaco del sureste",,325.0,19.865,-96.7755,,
1401,Nemi,New Caledonia (France),NCL,nem,Definitely endangered,,,325.0,-20.6494,164.6878,,
1402,Nambiquara do Norte,Brazil,BRA,"lkd, ltn, xtw, wmd",Vulnerable,"Lakondê, Latundê, Tawandê. Two tribes : 
Negarotê and Mamaindê. ",,323.0,-11.8028,-59.8095,,
1403,Matís,Brazil,BRA,mpq,Vulnerable,,,322.0,-6.1405,-70.664,,
1404,Wauja,Brazil,BRA,wau,Vulnerable,"Uaurá, Waurá",,321.0,-12.2554,-53.5899,,
1405,Benggoi,Indonesia,IDN,bgy,Definitely endangered,,,320.0,-3.0748,130.0918,,
1406,Karitiana,Brazil,BRA,ktn,Vulnerable,"Caritiana, Yjxa",,320.0,-9.7307,-64.0942,,
1407,Apalai,Brazil,BRA,apy,Vulnerable,,,317.0,1.2084,-55.1074,,
1408,Kwak'wala,"Canada, United States of America","CAN, USA",kwk,Critically endangered,Kwakiutl,,315.0,50.7338,-127.4982,,
1409,Tilung,Nepal,NPL,tij,Definitely endangered,तिलुङ; Tiling,,310.0,27.1501,86.5077,,
1410,Opuuo,Ethiopia,ETH,lgn,Critically endangered,Opo-Shita,,307.0,8.3202,33.8873,,
1411,Panará,Brazil,BRA,kre,Vulnerable,"Krenhakarore, Krenakore, Krenakarore, Índios Gigantes, Kreen-akarore",,306.0,-9.449,-54.5965,,
1412,Aka,India,IND,soh,Critically endangered,Jebel Sillok,,300.0,11.0112,34.2333,,
1413,Bakole,Cameroon,CMR,kme,Critically endangered,,,300.0,4.5764,8.8439,,
1414,Bathari,Oman,OMN,bhm,Critically endangered,"Bahtariyet, Bothari",,300.0,17.8846,55.5853,,
1415,Brokkat,Bhutan,BTN,bro,Definitely endangered,Brokskad; Jokay,,300.0,27.5618,90.6152,,
1416,Duwet,Papua New Guinea,PNG,gve,Vulnerable,,,300.0,-6.4763,146.8377,,
1417,Faire Atta,Philippines,PHL,azt,Severely endangered,,,300.0,18.027,120.4929,,
1418,Green Gelao (China),China,CHN,giq,Critically endangered,Hagei,,300.0,27.7022,106.0952,,
1419,Green Gelao (Viet Nam),Viet Nam,VNM,giq,Critically endangered,"Hagei, Ho Ki",,300.0,23.1333,105.25,,
1420,Guatuso,Costa Rica,CRI,gut,Severely endangered,Maléku Jaíka,,300.0,10.6723,-84.8256,,
1421,Gupapuyngu,Australia,AUS,guf,Vulnerable,"Gobabingo, Gubabwingu.  Dialects: Gupapuyngu, Madarrpa, Manggalili, Munyuku, Wubulkarra, Walangu. About 45 related dialects. Close to Gumatj.",,300.0,-12.6624,136.549,,
1422,Istro-Romanian,Croatia,HRV,ruo,Severely endangered,Istrio-Romanian,,300.0,45.3907,14.436,,
