Language,Code,Subgroup,Family
Pamlico,pmk,Unclassified Algonquian,Algic
Pankararé,pax,Unclassified,Unclassified
Pankararú,paz,Language Isolate,Language Isolate
Panobo,pno,Unclassified Panoan,Panoan
Papora,ppu,Paiwanic,Austronesian
Paranawát,paf,Kawahib (VI),Tupi
Parthian,xpr,Western Iranian,Indo-European
Pataxó Hã-Ha-Hãe,pth,Unclassified,Unclassified
Pecheneg,xpc,Ponto-Caspian,Altaic
Pentlatch,ptw,Northern Central Salish,Salishan
"Persian, Manichaean Middle",xmn,Persian,Indo-European
"Persian, Old",peo,Western Iranian,Indo-European
Phoenician,phn,Canaanite,Afroasiatic
Phrygian,xpg,Phrygian,Indo-European
"Picene, North",nrp,Unclassified,Unclassified
"Picene, South",spx,Umbrian,Indo-European
Pictish,xpi,Unclassified,Unclassified
"Pidgin, Timor",tvy,Portuguese based,Creole
Pijao,pij,Unclassified,Unclassified
Pirlatapa,bxi,Karna,Australian
Piro,pie,Tiwa,Kiowa Tanoan
Piscataway,psy,Algonquian,Algic
Pisidian,xps,Anatolian,Indo-European
Pochutec,xpo,Aztecan,Uto-Aztecan
Polabian,pox,Lechitic,Indo-European
"Pomo, Eastern",peb,Eastern,Hokan
"Pomo, Northern",pej,Northern Russian River,Hokan
Ponares,pod,Unclassified Arawakan,Arawakan
Potiguára,pog,Tupi (III),Tupi
Powhatan,pim,Eastern Algonquian,Algic
"Prākrit, Ardhamāgadhī",pka,Indo-Aryan Eastern Zone,Indo-European
"Prākrit, Māhārāṣṭri",pmh,Indo-Aryan Southern Zone,Indo-European
"Prākrit, Sauraseni",psu,Indo-Aryan Central Zone,Indo-European
"Provençal, Old",pro,Oc,Indo-European
Prussian,prg,Western Baltic,Indo-European
Pumpokol,xpm,Yenisei Ostyak,Yenisei Ostyak
Punic,xpu,Canaanite,Afroasiatic
Puquina,puq,Unclassified,Unclassified
Puri,prr,Puri,Macro-Ge
Purisimeño,puy,Chumash,Chumash
Puyo,xpy,Unclassified,Unclassified
Puyo-Paekche,xpp,Unclassified,Unclassified
Pyu,pyx,Lolo-Burmese,Sino-Tibetan
Qatabanian,xqt,South Arabian,Afroasiatic
"Quechua, Classical",qwc,Quechua II C,Quechuan
Raetic,xrr,Unclassified,Unclassified
Rema,bow,Tonda,Trans-New Guinea
Remo,rem,North-Central Panoan,Panoan
Runa,rna,Choco,Choco
"Russian, Old",orv,East Slavic,Indo-European
Sabaean,xsa,South Arabian,Afroasiatic
Sabine,sbv,Umbrian,Indo-European
Sakan,xsk,Eastern Iranian,Indo-European
Salinan,sln,Salinan-Seri,Hokan
Sam'alian,qey,South Central Semitic,Afroasiatic
Samaritan,smp,Canaanite,Afroasiatic
"Sami, Kemi",sjk,Eastern Sami,Uralic
Saraveca,sar,Central Maipuran,Arawakan
"Saxon, Old",osx,Low Saxon,Indo-European
Scythian,xsc,Eastern Iranian,Indo-European
Selian,sxl,Baltic,Indo-European
Sened,sds,East Zenati,Afroasiatic
Senhaja De Srair,sjs,Riff,Afroasiatic
Sensi,sni,North-Central Panoan,Panoan
Seroa,kqu,!Kwi,Khoisan
Seru,szd,Melanau,Austronesian
Shinabo,snh,Southern Panoan,Panoan
Shuadit,sdt,Oc,Indo-European
Sicanian,sxc,Unclassified,Unclassified
Sicel,scx,Unclassified Indo-European,Indo-European
Sidetic,xsd,Anatolian,Indo-European
Singa,sgm,Nyoro-Ganda (J.10),Niger-Congo
Siraya,fos,Southwest East Formosan,Austronesian
Siuslaw,sis,Siuslawan,Penutian
Skalvian,svx,Unclassified Baltic,Indo-European
"Slavonic, Old",chu,Eastern South Slavic,Indo-European
Sogdian,sog,Eastern Iranian,Indo-European
Solano,xso,Unclassified,Unclassified
Sorothaptic,sxo,Unclassified,Unclassified
"Spanish, Old",osp,West Iberian,Indo-European
Subtiaba,sut,Subtiaba-Tlapanex,Subtiaba-Tlapanex
Sudovian,xsv,Western Baltic,Indo-European
Sumerian,sux,Language Isolate,Language Isolate
Susquehannock,sqn,Iroquoian,Iroquoian
"Syriac, Classical",syc,Eastern Aramaic,Afroasiatic
Taino,tnq,Caribbean,Arawakan
Takelma,tkm,Takelma,Penutian
Tama,ten,Tama,Tucanoan
Tamanaku,tmz,Western Guiana,Carib
"Tamil, Old",oty,Tamil-Malayalam,Dravidian
Tanema,tnx,Vanikoro,Austronesian
Tangut,txg,Tangut-Qiang,Sino-Tibetan
Tapeba,tbb,Unclassified,Unclassified
Tartessian,txr,Unclassified,Unclassified
Tasmanian,xtz,Unclassified,Unclassified
Tay Boi,tas,French based,Pidgin
Tepecano,tep,Southern Tepehuan,Uto-Aztecan
Ternateño,tmg,Portuguese based,Creole
Teshenawa,twc,Bade Proper,Afroasiatic
Tetete,teb,Tetete,Tucanoan
Thracian,txh,Thracian,Indo-European
Thurawal,tbh,Yuin,Australian
"Tibetan, Classical",xct,Tibetic,Sino-Tibetan
"Tibetan, Old",otb,Tibetic,Sino-Tibetan
Tillamook,til,Tillamook,Salishan
Timucua,tjm,Unclassified,Unclassified
Tingui-Boto,tgv,Unclassified,Unclassified
Tjurruru,tju,Inland Ngayarda,Australian
Togoyo,tgy,Indri-Togoyo,Niger-Congo
Tokharian A,xto,Tokharian,Indo-European
Tokharian B,txb,Tokharian,Indo-European
Tomedes,toe,Unclassified Arawakan,Arawakan
Tonjon,tjn,Jogo,Niger-Congo
